event_time,machine_id,axis,vibration_rms,vibration_peak,unit
2025-06-24 08:08:00,M03,y,0.9953,1.4035,mm/s
2025-06-24 08:08:00,M03,z,1.051,1.4866,mm/s
2025-06-24 08:09:00,M01,x,0.9744,1.7078,mm/s
2025-06-24 08:09:00,M01,y,1.0097,1.4328,mm/s
2025-06-24 08:09:00,M01,z,1.0494,1.7152,mm/s
2025-06-24 08:09:00,M02,x,1.0547,1.8645,mm/s
2025-06-24 08:09:00,M02,y,1.1208,1.7771,mm/s
2025-06-24 08:09:00,M02,z,1.0809,1.8416,mm/s
2025-06-24 08:09:00,M03,x,0.912,1.2724,mm/s
2025-06-24 08:09:00,M03,y,0.9848,1.4888,mm/s
2025-06-24 08:09:00,M03,z,1.0243,1.5708,mm/s
2025-06-24 08:10:00,M01,x,0.9422,1.6885,mm/s
2025-06-24 08:10:00,M01,y,0.9407,1.2692,mm/s
2025-06-24 08:10:00,M01,z,1.0327,1.7874,mm/s
2025-06-24 08:10:00,M02,x,1.0709,1.5253,mm/s
2025-06-24 08:10:00,M02,y,1.116,1.6862,mm/s
2025-06-24 08:10:00,M02,z,1.1906,1.7136,mm/s
2025-06-24 08:10:00,M03,x,0.9001,1.3696,mm/s
2025-06-24 08:10:00,M03,y,1.0406,1.8009,mm/s
2025-06-24 08:10:00,M03,z,0.9878,1.7777,mm/s
2025-06-24 08:11:00,M01,x,0.946,1.6252,mm/s
2025-06-24 08:11:00,M01,y,1.0896,1.8788,mm/s
2025-06-24 08:11:00,M01,z,1.0461,1.4469,mm/s
2025-06-24 08:11:00,M02,x,1.0224,1.5341,mm/s
2025-06-24 08:11:00,M02,y,1.1025,1.4656,mm/s
2025-06-24 08:11:00,M02,z,1.0658,1.5269,mm/s
2025-06-24 08:11:00,M03,x,0.9801,1.6584,mm/s
2025-06-24 08:11:00,M03,y,0.9097,1.618,mm/s
2025-06-24 08:11:00,M03,z,1.0117,1.8187,mm/s
2025-06-24 08:12:00,M01,x,0.8902,1.2262,mm/s
2025-06-24 08:12:00,M01,y,0.9781,1.4166,mm/s
2025-06-24 08:12:00,M01,z,1.1166,1.7543,mm/s
2025-06-24 08:12:00,M02,x,1.0397,1.7404,mm/s
2025-06-24 08:12:00,M02,y,1.1496,1.7835,mm/s
2025-06-24 08:12:00,M02,z,1.1686,2.0174,mm/s
2025-06-24 08:12:00,M03,x,0.9559,1.281,mm/s
2025-06-24 08:12:00,M03,y,1.0351,1.4418,mm/s
2025-06-24 08:12:00,M03,z,0.9504,1.3473,mm/s
2025-06-24 08:13:00,M01,x,0.9163,1.2461,mm/s
2025-06-24 08:13:00,M01,y,1.0232,1.6343,mm/s
2025-06-24 08:13:00,M01,z,1.0471,1.6855,mm/s
2025-06-24 08:13:00,M02,x,1.0037,1.5672,mm/s
2025-06-24 08:13:00,M02,y,1.1257,1.9895,mm/s
2025-06-24 08:13:00,M02,z,1.168,1.6578,mm/s
2025-06-24 08:13:00,M03,x,0.9609,1.4393,mm/s
2025-06-24 08:13:00,M03,y,0.934,1.3619,mm/s
2025-06-24 08:13:00,M03,z,0.9702,1.626,mm/s
2025-06-24 08:14:00,M01,x,0.9898,1.7809,mm/s
2025-06-24 08:14:00,M01,y,1.0195,1.8331,mm/s
2025-06-24 08:14:00,M01,z,1.0923,1.5648,mm/s
2025-06-24 08:14:00,M02,x,1.0623,1.8767,mm/s
2025-06-24 08:14:00,M02,y,1.1603,1.7228,mm/s
2025-06-24 08:14:00,M02,z,1.094,1.5085,mm/s
2025-06-24 08:14:00,M03,x,0.9313,1.4955,mm/s
2025-06-24 08:14:00,M03,y,0.8961,1.6073,mm/s
2025-06-24 08:14:00,M03,z,0.9972,1.7038,mm/s
2025-06-24 08:15:00,M01,x,0.9459,1.3713,mm/s
2025-06-24 08:15:00,M01,y,0.951,1.3002,mm/s
2025-06-24 08:15:00,M01,z,0.9878,1.3412,mm/s
2025-06-24 08:15:00,M02,x,1.0897,1.565,mm/s
2025-06-24 08:15:00,M02,y,1.1316,1.8133,mm/s
2025-06-24 08:15:00,M02,z,1.1445,1.8508,mm/s
2025-06-24 08:15:00,M03,x,0.8736,1.251,mm/s
2025-06-24 08:15:00,M03,y,0.8634,1.4877,mm/s
2025-06-24 08:15:00,M03,z,1.0063,1.3546,mm/s
2025-06-24 08:16:00,M01,x,0.9214,1.1995,mm/s
2025-06-24 08:16:00,M01,y,1.0149,1.7107,mm/s
2025-06-24 08:16:00,M01,z,1.0497,1.7536,mm/s
2025-06-24 08:16:00,M02,x,1.0263,1.6173,mm/s
2025-06-24 08:16:00,M02,y,1.095,1.4647,mm/s
2025-06-24 08:16:00,M02,z,1.1524,2.007,mm/s
2025-06-24 08:16:00,M03,x,0.9414,1.6167,mm/s
2025-06-24 08:16:00,M03,y,0.9215,1.4663,mm/s
2025-06-24 08:16:00,M03,z,1.0125,1.4723,mm/s
2025-06-24 08:17:00,M01,x,0.9667,1.6912,mm/s
2025-06-24 08:17:00,M01,y,1.0227,1.7892,mm/s
2025-06-24 08:17:00,M01,z,0.9951,1.3982,mm/s
2025-06-24 08:17:00,M02,x,1.0501,1.7747,mm/s
2025-06-24 08:17:00,M02,y,1.1186,1.9487,mm/s
2025-06-24 08:17:00,M02,z,1.1037,1.5201,mm/s
2025-06-24 08:17:00,M03,x,0.9309,1.643,mm/s
2025-06-24 08:17:00,M03,y,1.0221,1.7431,mm/s
2025-06-24 08:17:00,M03,z,0.9178,1.5976,mm/s
2025-06-24 08:18:00,M01,x,1.0145,1.4874,mm/s
2025-06-24 08:18:00,M01,y,1.0101,1.7832,mm/s
2025-06-24 08:18:00,M01,z,1.0983,1.873,mm/s
2025-06-24 08:18:00,M02,x,0.9744,1.3967,mm/s
2025-06-24 08:18:00,M02,y,1.1045,1.9175,mm/s
2025-06-24 08:18:00,M02,z,1.1314,1.9565,mm/s
2025-06-24 08:18:00,M03,x,0.9127,1.3966,mm/s
2025-06-24 08:18:00,M03,y,1.0226,1.4854,mm/s
2025-06-24 08:18:00,M03,z,1.0081,1.3225,mm/s
2025-06-24 08:19:00,M01,x,0.9224,1.2882,mm/s
2025-06-24 08:19:00,M01,y,0.9622,1.716,mm/s
2025-06-24 08:19:00,M01,z,1.1442,1.6471,mm/s
2025-06-24 08:19:00,M02,x,1.0245,1.8344,mm/s
2025-06-24 08:19:00,M02,y,1.0686,1.6757,mm/s
2025-06-24 08:19:00,M02,z,1.1684,2.0858,mm/s
2025-06-24 08:19:00,M03,x,0.8926,1.2401,mm/s
2025-06-24 08:19:00,M03,y,0.9806,1.3279,mm/s
2025-06-24 08:19:00,M03,z,0.9927,1.5062,mm/s
2025-06-24 08:20:00,M01,x,0.9453,1.5154,mm/s
2025-06-24 08:20:00,M01,y,0.9656,1.5022,mm/s
2025-06-24 08:20:00,M01,z,1.0356,1.4782,mm/s
2025-06-24 08:20:00,M02,x,1.0846,1.7944,mm/s
2025-06-24 08:20:00,M02,y,1.1912,1.8693,mm/s
2025-06-24 08:20:00,M02,z,1.151,1.9103,mm/s
2025-06-24 08:20:00,M03,x,0.897,1.3295,mm/s
2025-06-24 08:20:00,M03,y,0.8905,1.1888,mm/s
2025-06-24 08:20:00,M03,z,0.9816,1.4301,mm/s
2025-06-24 08:21:00,M01,x,0.9193,1.5849,mm/s
2025-06-24 08:21:00,M01,y,0.9936,1.4453,mm/s
2025-06-24 08:21:00,M01,z,1.0431,1.569,mm/s
2025-06-24 08:21:00,M02,x,1.0226,1.3945,mm/s
2025-06-24 08:21:00,M02,y,1.1193,1.6904,mm/s
2025-06-24 08:21:00,M02,z,1.206,2.1122,mm/s
2025-06-24 08:21:00,M03,x,0.878,1.4116,mm/s
2025-06-24 08:21:00,M03,y,0.9341,1.2145,mm/s
2025-06-24 08:21:00,M03,z,1.0478,1.5125,mm/s
2025-06-24 08:22:00,M01,x,0.9023,1.4684,mm/s
2025-06-24 08:22:00,M01,y,1.0225,1.567,mm/s
2025-06-24 08:22:00,M01,z,1.0516,1.6159,mm/s
2025-06-24 08:22:00,M02,x,1.0599,1.8555,mm/s
2025-06-24 08:22:00,M02,y,1.107,1.486,mm/s
2025-06-24 08:22:00,M02,z,1.1266,1.7549,mm/s
2025-06-24 08:22:00,M03,x,0.8757,1.4968,mm/s
2025-06-24 08:22:00,M03,y,0.9232,1.5469,mm/s
2025-06-24 08:22:00,M03,z,0.9867,1.381,mm/s
2025-06-24 08:23:00,M01,x,0.9248,1.2135,mm/s
2025-06-24 08:23:00,M01,y,1.0015,1.7275,mm/s
2025-06-24 08:23:00,M01,z,1.1241,1.5023,mm/s
2025-06-24 08:23:00,M02,x,1.0016,1.3995,mm/s
2025-06-24 08:23:00,M02,y,1.1289,1.8606,mm/s
2025-06-24 08:23:00,M02,z,1.1201,1.8236,mm/s
2025-06-24 08:23:00,M03,x,0.9011,1.1739,mm/s
2025-06-24 08:23:00,M03,y,0.9504,1.2862,mm/s
2025-06-24 08:23:00,M03,z,0.9314,1.4088,mm/s
2025-06-24 08:24:00,M01,x,0.9952,1.5515,mm/s
2025-06-24 08:24:00,M01,y,1.09,1.4444,mm/s
2025-06-24 08:24:00,M01,z,1.0804,1.6511,mm/s
2025-06-24 08:24:00,M02,x,1.1277,1.9179,mm/s
2025-06-24 08:24:00,M02,y,1.0412,1.6636,mm/s
2025-06-24 08:24:00,M02,z,1.0467,1.8579,mm/s
2025-06-24 08:24:00,M03,x,0.9428,1.5647,mm/s
2025-06-24 08:24:00,M03,y,0.9153,1.4209,mm/s
2025-06-24 08:24:00,M03,z,1.0244,1.7913,mm/s
2025-06-24 08:25:00,M01,x,0.9059,1.5145,mm/s
2025-06-24 08:25:00,M01,y,0.9694,1.3801,mm/s
2025-06-24 08:25:00,M01,z,1.0862,1.7584,mm/s
2025-06-24 08:25:00,M02,x,1.0548,1.7018,mm/s
2025-06-24 08:25:00,M02,y,1.0517,1.5116,mm/s
2025-06-24 08:25:00,M02,z,1.179,1.6929,mm/s
2025-06-24 08:25:00,M03,x,0.9154,1.3364,mm/s
2025-06-24 08:25:00,M03,y,0.9289,1.315,mm/s
2025-06-24 08:25:00,M03,z,0.9946,1.6381,mm/s
2025-06-24 08:26:00,M01,x,0.9461,1.4227,mm/s
2025-06-24 08:26:00,M01,y,0.986,1.5493,mm/s
2025-06-24 08:26:00,M01,z,1.059,1.5992,mm/s
2025-06-24 08:26:00,M02,x,1.0637,1.864,mm/s
2025-06-24 08:26:00,M02,y,1.0467,1.8091,mm/s
2025-06-24 08:26:00,M02,z,1.1189,1.8829,mm/s
2025-06-24 08:26:00,M03,x,0.8968,1.3236,mm/s
2025-06-24 08:26:00,M03,y,0.953,1.5979,mm/s
2025-06-24 08:26:00,M03,z,1.06,1.6001,mm/s
2025-06-24 08:27:00,M01,x,0.8711,1.458,mm/s
2025-06-24 08:27:00,M01,y,0.9479,1.3368,mm/s
2025-06-24 08:27:00,M01,z,1.0682,1.5059,mm/s
2025-06-24 08:27:00,M02,x,1.0411,1.5284,mm/s
2025-06-24 08:27:00,M02,y,1.1038,1.8098,mm/s
2025-06-24 08:27:00,M02,z,1.1302,1.7334,mm/s
2025-06-24 08:27:00,M03,x,0.9136,1.246,mm/s
2025-06-24 08:27:00,M03,y,0.9433,1.4121,mm/s
2025-06-24 08:27:00,M03,z,0.9935,1.5719,mm/s
2025-06-24 08:28:00,M01,x,1.0066,1.3769,mm/s
2025-06-24 08:28:00,M01,y,1.0097,1.5457,mm/s
2025-06-24 08:28:00,M01,z,1.1221,1.5775,mm/s
2025-06-24 08:28:00,M02,x,1.0621,1.5543,mm/s
2025-06-24 08:28:00,M02,y,1.1028,1.8483,mm/s
2025-06-24 08:28:00,M02,z,1.111,1.9064,mm/s
2025-06-24 08:28:00,M03,x,0.8998,1.1785,mm/s
2025-06-24 08:28:00,M03,y,0.9665,1.5171,mm/s
2025-06-24 08:28:00,M03,z,1.0371,1.6854,mm/s
2025-06-24 08:29:00,M01,x,0.95,1.6061,mm/s
2025-06-24 08:29:00,M01,y,0.9612,1.7059,mm/s
2025-06-24 08:29:00,M01,z,1.0316,1.4439,mm/s
2025-06-24 08:29:00,M02,x,1.0728,1.4623,mm/s
2025-06-24 08:29:00,M02,y,1.1029,1.8029,mm/s
2025-06-24 08:29:00,M02,z,1.1242,1.8546,mm/s
2025-06-24 08:29:00,M03,x,0.889,1.4966,mm/s
2025-06-24 08:29:00,M03,y,0.977,1.6355,mm/s
2025-06-24 08:29:00,M03,z,1.0476,1.4219,mm/s
2025-06-24 08:30:00,M01,x,0.9936,1.3454,mm/s
2025-06-24 08:30:00,M01,y,0.9062,1.1897,mm/s
2025-06-24 08:30:00,M01,z,1.0647,1.8942,mm/s
2025-06-24 08:30:00,M02,x,1.1057,1.6567,mm/s
2025-06-24 08:30:00,M02,y,1.0965,1.8041,mm/s
2025-06-24 08:30:00,M02,z,1.1345,1.8307,mm/s
2025-06-24 08:30:00,M03,x,0.9552,1.6479,mm/s
2025-06-24 08:30:00,M03,y,0.9911,1.586,mm/s
2025-06-24 08:30:00,M03,z,1.0832,1.832,mm/s
2025-06-24 08:31:00,M01,x,1.0292,1.5166,mm/s
2025-06-24 08:31:00,M01,y,0.9653,1.4991,mm/s
2025-06-24 08:31:00,M01,z,1.1055,1.6258,mm/s
2025-06-24 08:31:00,M02,x,1.0935,1.4793,mm/s
2025-06-24 08:31:00,M02,y,1.0397,1.8511,mm/s
2025-06-24 08:31:00,M02,z,1.1005,1.8198,mm/s
2025-06-24 08:31:00,M03,x,0.8435,1.2802,mm/s
2025-06-24 08:31:00,M03,y,0.9395,1.3482,mm/s
2025-06-24 08:31:00,M03,z,0.8968,1.5282,mm/s
2025-06-24 08:32:00,M01,x,0.9053,1.3741,mm/s
2025-06-24 08:32:00,M01,y,0.9891,1.6474,mm/s
2025-06-24 08:32:00,M01,z,1.081,1.8543,mm/s
2025-06-24 08:32:00,M02,x,1.1276,1.5147,mm/s
2025-06-24 08:32:00,M02,y,1.122,1.7193,mm/s
2025-06-24 08:32:00,M02,z,1.1298,1.8135,mm/s
2025-06-24 08:32:00,M03,x,0.893,1.5409,mm/s
2025-06-24 08:32:00,M03,y,0.9567,1.3307,mm/s
2025-06-24 08:32:00,M03,z,1.0169,1.495,mm/s
2025-06-24 08:33:00,M01,x,1.0195,1.7741,mm/s
2025-06-24 08:33:00,M01,y,0.9903,1.2924,mm/s
2025-06-24 08:33:00,M01,z,1.0606,1.8815,mm/s
2025-06-24 08:33:00,M02,x,1.1048,1.7061,mm/s
2025-06-24 08:33:00,M02,y,1.1327,1.9019,mm/s
2025-06-24 08:33:00,M02,z,1.129,1.7448,mm/s
2025-06-24 08:33:00,M03,x,0.8463,1.4357,mm/s
2025-06-24 08:33:00,M03,y,0.9736,1.6024,mm/s
2025-06-24 08:33:00,M03,z,1.0156,1.4758,mm/s
2025-06-24 08:34:00,M01,x,0.9105,1.4254,mm/s
2025-06-24 08:34:00,M01,y,0.9778,1.4792,mm/s
2025-06-24 08:34:00,M01,z,1.0916,1.8027,mm/s
2025-06-24 08:34:00,M02,x,1.0142,1.4558,mm/s
2025-06-24 08:34:00,M02,y,1.0998,1.5356,mm/s
2025-06-24 08:34:00,M02,z,1.1703,1.5913,mm/s
2025-06-24 08:34:00,M03,x,0.8339,1.1613,mm/s
2025-06-24 08:34:00,M03,y,0.9349,1.3165,mm/s
2025-06-24 08:34:00,M03,z,0.9361,1.674,mm/s
2025-06-24 08:35:00,M01,x,0.9564,1.4942,mm/s
2025-06-24 08:35:00,M01,y,0.9962,1.3917,mm/s
2025-06-24 08:35:00,M01,z,1.1118,1.5718,mm/s
2025-06-24 08:35:00,M02,x,1.0529,1.65,mm/s
2025-06-24 08:35:00,M02,y,1.1061,1.5896,mm/s
2025-06-24 08:35:00,M02,z,1.2001,1.9786,mm/s
2025-06-24 08:35:00,M03,x,0.8918,1.2156,mm/s
2025-06-24 08:35:00,M03,y,0.9815,1.7042,mm/s
2025-06-24 08:35:00,M03,z,0.9658,1.5328,mm/s
2025-06-24 08:36:00,M01,x,0.9077,1.2637,mm/s
2025-06-24 08:36:00,M01,y,1.0082,1.3366,mm/s
2025-06-24 08:36:00,M01,z,1.1375,1.9463,mm/s
2025-06-24 08:36:00,M02,x,1.0335,1.5506,mm/s
2025-06-24 08:36:00,M02,y,1.1504,1.5264,mm/s
2025-06-24 08:36:00,M02,z,1.1753,1.6156,mm/s
2025-06-24 08:36:00,M03,x,0.8686,1.5608,mm/s
2025-06-24 08:36:00,M03,y,0.9369,1.2735,mm/s
2025-06-24 08:36:00,M03,z,1.0049,1.7037,mm/s
2025-06-24 08:37:00,M01,x,0.8956,1.2653,mm/s
2025-06-24 08:37:00,M01,y,0.9567,1.4555,mm/s
2025-06-24 08:37:00,M01,z,1.0901,1.886,mm/s
2025-06-24 08:37:00,M02,x,1.0841,1.746,mm/s
2025-06-24 08:37:00,M02,y,1.0979,1.7619,mm/s
2025-06-24 08:37:00,M02,z,1.144,1.6061,mm/s
2025-06-24 08:37:00,M03,x,0.8031,1.1288,mm/s
2025-06-24 08:37:00,M03,y,0.9375,1.3002,mm/s
2025-06-24 08:37:00,M03,z,0.9802,1.311,mm/s
2025-06-24 08:38:00,M01,x,0.9938,1.587,mm/s
2025-06-24 08:38:00,M01,y,1.0007,1.4466,mm/s
2025-06-24 08:38:00,M01,z,1.1048,1.8246,mm/s
2025-06-24 08:38:00,M02,x,1.1122,1.6983,mm/s
2025-06-24 08:38:00,M02,y,1.0652,1.8044,mm/s
2025-06-24 08:38:00,M02,z,1.0661,1.7191,mm/s
2025-06-24 08:38:00,M03,x,0.8507,1.2867,mm/s
2025-06-24 08:38:00,M03,y,0.871,1.3695,mm/s
2025-06-24 08:38:00,M03,z,0.9475,1.6234,mm/s
2025-06-24 08:39:00,M01,x,0.88,1.1754,mm/s
2025-06-24 08:39:00,M01,y,1.0173,1.7034,mm/s
2025-06-24 08:39:00,M01,z,1.1284,1.7881,mm/s
2025-06-24 08:39:00,M02,x,1.045,1.7183,mm/s
2025-06-24 08:39:00,M02,y,1.12,1.8479,mm/s
2025-06-24 08:39:00,M02,z,1.1941,1.8472,mm/s
2025-06-24 08:39:00,M03,x,0.8834,1.184,mm/s
2025-06-24 08:39:00,M03,y,0.9912,1.4483,mm/s
2025-06-24 08:39:00,M03,z,1.0105,1.4401,mm/s
2025-06-24 08:40:00,M01,x,1.0359,1.7797,mm/s
2025-06-24 08:40:00,M01,y,1.0555,1.6757,mm/s
2025-06-24 08:40:00,M01,z,1.2501,2.0453,mm/s
2025-06-24 08:40:00,M02,x,1.0021,1.4378,mm/s
2025-06-24 08:40:00,M02,y,1.1651,1.7887,mm/s
2025-06-24 08:40:00,M02,z,1.1668,1.8969,mm/s
2025-06-24 08:40:00,M03,x,0.9219,1.4683,mm/s
2025-06-24 08:40:00,M03,y,0.9373,1.516,mm/s
2025-06-24 08:40:00,M03,z,0.9825,1.4482,mm/s
2025-06-24 08:41:00,M01,x,0.9509,1.3946,mm/s
2025-06-24 08:41:00,M01,y,0.962,1.4092,mm/s
2025-06-24 08:41:00,M01,z,1.032,1.6995,mm/s
2025-06-24 08:41:00,M02,x,1.0271,1.753,mm/s
2025-06-24 08:41:00,M02,y,1.1936,1.88,mm/s
2025-06-24 08:41:00,M02,z,1.1166,1.6321,mm/s
2025-06-24 08:41:00,M03,x,0.9097,1.6239,mm/s
2025-06-24 08:41:00,M03,y,0.9104,1.6333,mm/s
2025-06-24 08:41:00,M03,z,1.0272,1.6731,mm/s
2025-06-24 08:42:00,M01,x,0.9102,1.2686,mm/s
2025-06-24 08:42:00,M01,y,0.9891,1.4647,mm/s
2025-06-24 08:42:00,M01,z,1.1048,1.8561,mm/s
2025-06-24 08:42:00,M02,x,0.994,1.3934,mm/s
2025-06-24 08:42:00,M02,y,1.0127,1.5384,mm/s
2025-06-24 08:42:00,M02,z,1.1221,1.8505,mm/s
2025-06-24 08:42:00,M03,x,0.9778,1.5688,mm/s
2025-06-24 08:42:00,M03,y,1.0244,1.4543,mm/s
2025-06-24 08:42:00,M03,z,1.0276,1.6196,mm/s
2025-06-24 08:43:00,M01,x,0.9925,1.3365,mm/s
2025-06-24 08:43:00,M01,y,1.0883,1.6659,mm/s
2025-06-24 08:43:00,M01,z,1.0995,1.4939,mm/s
2025-06-24 08:43:00,M02,x,1.0732,1.7797,mm/s
2025-06-24 08:43:00,M02,y,1.0591,1.6463,mm/s
2025-06-24 08:43:00,M02,z,1.1389,2.0388,mm/s
2025-06-24 08:43:00,M03,x,0.9751,1.3865,mm/s
2025-06-24 08:43:00,M03,y,0.9127,1.6072,mm/s
2025-06-24 08:43:00,M03,z,0.9875,1.5347,mm/s
2025-06-24 08:44:00,M01,x,1.008,1.4496,mm/s
2025-06-24 08:44:00,M01,y,0.9451,1.6019,mm/s
2025-06-24 08:44:00,M01,z,1.0247,1.5922,mm/s
2025-06-24 08:44:00,M02,x,1.0975,1.877,mm/s
2025-06-24 08:44:00,M02,y,1.0931,1.7418,mm/s
2025-06-24 08:44:00,M02,z,1.183,2.1288,mm/s
2025-06-24 08:44:00,M03,x,0.8774,1.3769,mm/s
2025-06-24 08:44:00,M03,y,0.9515,1.4011,mm/s
2025-06-24 08:44:00,M03,z,0.9526,1.4553,mm/s
2025-06-24 08:45:00,M01,x,0.9339,1.3643,mm/s
2025-06-24 08:45:00,M01,y,1.0233,1.6229,mm/s
2025-06-24 08:45:00,M01,z,1.1636,1.6486,mm/s
2025-06-24 08:45:00,M02,x,1.0519,1.7591,mm/s
2025-06-24 08:45:00,M02,y,1.0882,1.7984,mm/s
2025-06-24 08:45:00,M02,z,1.1649,1.9009,mm/s
2025-06-24 08:45:00,M03,x,0.8634,1.4767,mm/s
2025-06-24 08:45:00,M03,y,0.9964,1.3138,mm/s
2025-06-24 08:45:00,M03,z,0.9944,1.5425,mm/s
2025-06-24 08:46:00,M01,x,0.8819,1.5319,mm/s
2025-06-24 08:46:00,M01,y,0.9567,1.4543,mm/s
2025-06-24 08:46:00,M01,z,1.0639,1.7674,mm/s
2025-06-24 08:46:00,M02,x,1.0428,1.5694,mm/s
2025-06-24 08:46:00,M02,y,1.087,1.6683,mm/s
2025-06-24 08:46:00,M02,z,1.1309,2.0182,mm/s
2025-06-24 08:46:00,M03,x,0.8675,1.4096,mm/s
2025-06-24 08:46:00,M03,y,1.0022,1.7297,mm/s
2025-06-24 08:46:00,M03,z,1.0475,1.5608,mm/s
2025-06-24 08:47:00,M01,x,0.8866,1.293,mm/s
